college_id,college_logo_path,college_name
cal,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CAL.png,College of Arts and Letters
ccis,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CCIS.png,College of Computing and Information Sciences
cbfs,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CBFS.png,College of Business and Financial Sciences
ccaps,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CCAPS.png,"College of Continuing, Advanced, and Professional Studites"
ccse,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CCSE.png,College of Construction Sciences and Engineering
cgpp,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CGPP.png,College of Governance and Public Policy
chk,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CHK.png,College of Human Kinetics
cite,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CITE.png,College of Innovative Teacher's Education
cos,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/COS.png,College of Science
cthm,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CTHM.png,College of Tourism and Hospitality Management
ctm,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/CTM.png,College of Technology Management
iihs,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/IIHS.png,Institute of Imaging and Health Sciences
ion,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/ION.png,Institute of Nursing
iop,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/IOP.png,Institute of Pharmacy
ioa,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/IOA.png,Institute of Accountancy
hsu,https://nnrvnpmskfxbibqxlgpn.supabase.co/storage/v1/object/public/logos/HSU.jpg,Higher School ng UMak
