id,name,max_score,category_id
c054641a-79cb-48db-a1e1-ebdc7ded85a1,Substance of the answer and Connectivity to the question,60,92919c0e-43ba-42a3-a49b-55706c1b56ff
3b80a70a-beb5-45bc-a51f-913d0f836c3c,Manner of Delivery,40,92919c0e-43ba-42a3-a49b-55706c1b56ff
e61cb928-cfc4-4598-926e-564a6b9f3a9e,Relevance to the College / Center,35,12162ed8-6622-4ac3-a308-01b81bc909e0
1000465e-8a4a-4421-8366-26c49c236363,Relevance to the Theme,20,12162ed8-6622-4ac3-a308-01b81bc909e0
3438a6c1-9fb8-457a-bffb-38048e596151,Creativity,35,12162ed8-6622-4ac3-a308-01b81bc909e0
dc225867-31e5-4d5d-9dce-61da693837fa,Poise,10,12162ed8-6622-4ac3-a308-01b81bc909e0
0946e62c-e5a2-4165-9dc2-3beee61d957e,Community Engagement,75,42e728e8-05df-405b-99fc-001e14e22cf0
f234afb1-d25e-43f2-ac30-347338117531,Execution of Concept,25,42e728e8-05df-405b-99fc-001e14e22cf0
ccc45049-cbfd-4736-b9f0-9c13b7083f30,Beauty,40,ba8e137a-f1f7-4775-891a-f128138c2f17
9a271b82-cc6d-4d29-8efc-dd6e7549fdcf,Poise,40,ba8e137a-f1f7-4775-891a-f128138c2f17
9fb2da07-c9b8-4b7c-8fa8-720a1c56ee8b,Personality,20,ba8e137a-f1f7-4775-891a-f128138c2f17
fff31f2b-256a-458e-933d-55650f5536cc,Substance of the answer and Connectivity to the question,60,b7ee7a67-aa72-4974-97d9-a6dffe6e4b7e
f22d7ed1-3081-46a7-8d4d-5f574667d36f,Manner of Delivery,40,b7ee7a67-aa72-4974-97d9-a6dffe6e4b7e
62cdd52e-9fd8-48de-a551-ab6b5b596097,Beauty and Complexion,50,33adc659-5c89-47dd-8059-7e1de63b34fb
16039412-7c73-4c26-85d7-1386cd722bf1,Stage Presence,50,33adc659-5c89-47dd-8059-7e1de63b34fb
f4b66839-0b5f-4343-9512-07edb527b215,Beauty and Elegance,50,1f48ff25-e4a2-4fa5-93b8-da22b3053384
ba384e77-57e3-4cff-ae59-c3337b04830d,Stage Presence,50,1f48ff25-e4a2-4fa5-93b8-da22b3053384
4bc230c0-b405-4464-a13b-42ae6bd03463,Beauty,30,e5ffdb02-bddb-4d07-90fe-bd02e908a739
1c08ae42-96a1-44b7-9202-21a538a5b4aa,Manner of Delivery,30,e5ffdb02-bddb-4d07-90fe-bd02e908a739
2b7b6b1c-7b0a-4a8a-bb08-17e07831d8e7,Substance of the answer and Connectivity to the question,40,e5ffdb02-bddb-4d07-90fe-bd02e908a739
